,tfidf
show,2.1548986202779594
her,2.1253326311568297
also,2.0211511440212724
beyond,1.9382411032626916
more,1.9300629286602564
here,1.87397129043053
way,1.8728255045114157
take,1.8662418139683883
thought,1.862803807485674
awful,1.8347654673833953
been,1.8103984787925498
she,1.806402333707807
paid,1.806070000030423
half,1.793699574886501
almost,1.7718253705779485
such,1.76367974618794
second,1.7436696238699418
characters,1.7393458377517397
filmiing,1.7328323437552753
easy,1.7328323437552753
lighting,1.7328323437552753
worth,1.7313453383276651
less,1.7108343065716218
had,1.709344876359336
fails,1.7013623778323526
absolutely,1.680521172653067
lead,1.6775611731051816
oscar,1.63398815562193
kids,1.6187919857948048
great,1.604334711880565
truly,1.6022118696143552
lacked,1.6022118696143552
why,1.6020300268472587
work,1.6011056267837858
which,1.5913176260810147
am,1.5789572309202295
its,1.5782630995754667
many,1.5483240118886903
whatever,1.5362460171029597
cheap,1.5356390786108332
other,1.5313518458095998
action,1.5299423269664498
barely,1.5188490027000885
me,1.5179707542555327
piece,1.515820010997177
they,1.5123449621951077
minutes,1.5062452498885783
problem,1.4978224759867693
terrible,1.4938465147217053
do,1.4937394772486186
should,1.4927117307166475
end,1.4926980781620116
redeeming,1.4911654872046058
scene,1.4758513017922659
going,1.4362048170836574
poor,1.4299694068061437
some,1.428547849607463
will,1.42474366092307
unbelievable,1.415967095936134
know,1.4059369176852
stupid,1.4049754534804992
again,1.3987754424534655
serious,1.3979676442543179
premise,1.3790413805846524
thing,1.3784535230602146
seen,1.3647006104543373
watch,1.3644019107884713
mean,1.3567835182585526
hate,1.3392295079411114
simply,1.327609951205681
we,1.325183377998558
got,1.3054781704395442
squibs,1.2996242578164565
seems,1.2996242578164565
expecting,1.2996242578164565
believe,1.2867332688687747
describe,1.2838478365600878
quite,1.2809765623769807
wish,1.2781418461753764
made,1.2695669544454897
things,1.2531448300126529
hour,1.2389712089441174
films,1.2380598314044537
final,1.2345688286921248
better,1.2315680456914697
predictable,1.2258070946494817
budget,1.224885935918069
average,1.2230432044214194
effects,1.221587701610857
keep,1.2201989178995092
anything,1.2174374856578767
looks,1.2108712226924618
visual,1.2027925426845503
boring,1.1982579807894154
setting,1.1982579807894154
best,1.1956083548456293
then,1.1738142811530212
involved,1.1670823466562184
these,1.1642168055417836
first,1.163097914708569
man,1.1547096056978907
especially,1.133208358063995
camera,1.1289629579274643
big,1.1132434528582862
into,1.1072675947527049
huge,1.10171940834099
understand,1.0887116543990087
lacks,1.0873824950203157
pathetic,1.0847985872914947
certainly,1.083687176993291
over,1.0835664860649104
seemed,1.0659979557473735
times,1.065118205146147
say,1.0642751327595952
place,1.0631044823156859
still,1.0594101641696074
enough,1.0523057441925863
negative,1.0511034919205398
barking,1.0396994062531653
hollow,1.0396994062531653
delete,1.0396994062531653
pleasant,1.0396994062531653
shell,1.0396994062531653
evidently,1.0396994062531653
drive,1.0396994062531653
accents,1.0396994062531653
camp,1.0396994062531653
sloppy,1.0396994062531653
voyage,1.0396994062531653
close,1.0396994062531653
flawed,1.0384902500174933
terribly,1.0167037412758675
oh,1.007655501057065
racial,1.007231346170813
every,1.0067360516361283
writing,1.0003706235691696
said,0.9987115672258287
predictably,0.9985483173245128
dialogue,0.9968688664087773
away,0.9949253639205458
walked,0.984283341362734
documentary,0.984283341362734
death,0.9831860355195202
anyone,0.9713501388224255
sound,0.9700183654009552
low,0.9688178725597384
remotely,0.9682892774055882
slow,0.966661900468772
up,0.9484155780866964
though,0.9459284318581611
both,0.9409048476196747
love,0.936021276948189
seeing,0.9295814606399672
saw,0.9144340804367439
find,0.9133071614681287
insult,0.9114995236899527
between,0.9056588807914396
music,0.9025839335816375
remake,0.8986934855920615
nobody,0.8941538629142153
probably,0.892293314587853
expect,0.8867672722024272
think,0.8863303501592822
through,0.886092689392704
started,0.879356887968886
disliked,0.8714603496650294
together,0.8670222900089595
row,0.8664161718776376
rubbish,0.8664161718776376
lugosi,0.8664161718776376
dropped,0.8664161718776376
sequel,0.8664161718776376
engaging,0.8664161718776376
wasting,0.8664161718776376
case,0.8664161718776376
entirely,0.8664161718776376
stinker,0.8664161718776376
laughable,0.8664161718776376
frightening,0.8664161718776376
zillion,0.8664161718776376
intoning,0.8664161718776376
enter,0.8664161718776376
bela,0.8664161718776376
movements,0.8664161718776376
smells,0.8664161718776376
none,0.8664161718776376
odd,0.8664161718776376
gets,0.8513938284556373
earth,0.8513938284556373
chick,0.839332779170466
guess,0.8389900114060843
part,0.8358381931797789
possible,0.8351495017623198
now,0.8179779232788464
trash,0.8145021568764653
where,0.8115080690759795
when,0.8110064406174164
off,0.8101224880643548
strong,0.8061899298153734
proceedings,0.8044249381523348
done,0.8033732157547452
jerky,0.8033732157547452
intelligent,0.8016220638033719
example,0.8013717521563681
actors,0.7993725586690392
nonsense,0.7988386538596103
fan,0.7988386538596103
stereotypes,0.7988386538596102
watched,0.7952728419420907
may,0.784823940634003
bring,0.77886768751312
computer,0.7780895979152047
storyline,0.7750013913802789
hackneyed,0.7644059532622133
least,0.7604985283651012
utterly,0.7578016875676046
lot,0.7568884395552612
disappointed,0.7552052660013004
bore,0.7551540352097683
well,0.7513978843202844
kind,0.7506481827926054
recommend,0.7498094573412741
top,0.7445944012950869
operas,0.7426424330379751
achievement,0.7426424330379751
producer,0.7426424330379751
prompted,0.7426424330379751
believable,0.7426424330379751
convincing,0.7426424330379751
wouldnt,0.7426424330379751
missed,0.7426424330379751
painfully,0.7426424330379751
dreary,0.7426424330379751
football,0.7426424330379751
shows,0.7426424330379751
soap,0.7426424330379751
stories,0.7426424330379751
agree,0.7426424330379751
space,0.7392679321591692
production,0.7352946700298686
lost,0.7352946700298686
sometimes,0.7329277269090906
far,0.7311060856798197
trying,0.7283364765746143
character,0.7252577445441206
cannot,0.7189547884736492
does,0.7123493340783992
cast,0.7112025694990385
lines,0.7109789464704734
thinking,0.7011083930150834
around,0.6989838221271589
after,0.6962542887823795
cinematography,0.6892534080605152
speak,0.6892534080605152
losing,0.6882302248636643
embarrassing,0.6879950128934442
without,0.6871730355781593
having,0.6827125233891733
did,0.6815078843916584
mess,0.675426942371839
minute,0.6498121289082283
unintentionally,0.6498121289082283
turns,0.6498121289082283
ruthless,0.6498121289082283
drifting,0.6498121289082283
relate,0.6498121289082283
widmark,0.6498121289082283
hell,0.6498121289082283
us,0.6498121289082283
irons,0.6498121289082283
actually,0.6498121289082283
below,0.6498121289082283
aimless,0.6498121289082283
makes,0.6498121289082283
friends,0.6498121289082283
sorry,0.6498121289082283
unbearably,0.6498121289082283
result,0.6498121289082283
doing,0.6498121289082283
ugliest,0.6498121289082283
artless,0.6498121289082283
presents,0.6498121289082283
lassie,0.6498121289082283
endlessly,0.6498121289082283
speaking,0.6498121289082283
poorly,0.6494623202110652
annoying,0.647376446128735
everyone,0.6457561745155189
use,0.6436871331943186
bored,0.6436650278067093
putting,0.6419239182800439
implausible,0.6349743146063569
problems,0.633917125320852
definitely,0.6202436684702921
since,0.6190999567411979
myself,0.6172844143460624
few,0.6167384399289453
clichés,0.6120308375307619
clearly,0.6086389743692269
towards,0.6078120192410077
used,0.6075328344278021
create,0.6064802663504709
lame,0.6064802663504709
young,0.6036635522898427
seem,0.5958109180932416
works,0.5865598507360775
fear,0.5858150128303808
ridiculous,0.5837667085897151
sets,0.5837667085897151
rent,0.5815075495007457
excuse,0.5776107812517585
suffered,0.5776107812517585
explanation,0.5776107812517585
merit,0.5776107812517585
reasonable,0.5776107812517585
last,0.5776107812517585
trashy,0.5776107812517585
aside,0.5776107812517585
qualities,0.5776107812517585
composed,0.5776107812517585
buildings,0.5776107812517585
foreigner,0.5776107812517585
fest,0.5776107812517585
victor,0.5776107812517585
akin,0.5776107812517585
donlevy,0.5776107812517585
brat,0.5776107812517585
spoiled,0.5776107812517585
brian,0.5776107812517585
maybe,0.5776107812517585
mclaglen,0.5776107812517585
loads,0.5776107812517585
doubt,0.5776107812517585
dialogs,0.5776107812517585
unsatisfactory,0.5776107812517585
original,0.5776107812517585
couple,0.5776107812517585
needed,0.5776107812517585
shallow,0.5776107812517585
locations,0.5776107812517585
hypocrisy,0.5776107812517585
women,0.5769390277874962
star,0.5767017019842107
rest,0.5760952590919706
cardboard,0.5705990384711501
found,0.5661666332220541
garbage,0.5658440464838905
particularly,0.5602245104989474
written,0.5589343799747897
cult,0.5536737806486579
fat,0.5526333924705065
before,0.5518293332582833
fact,0.549201574528482
come,0.5482226055899286
put,0.5482226055899286
horror,0.5482226055899286
each,0.5477750769323042
extremely,0.5461627882584784
something,0.5399103785288367
mercy,0.539216091355237
night,0.5370936644682085
several,0.5342078923643214
their,0.5325281335886412
word,0.5315908132956679
ending,0.5266992143749221
los,0.521594650461275
volcano,0.521594650461275
paul,0.5198791239403813
distinction,0.5198497031265826
convention,0.5198497031265826
guys,0.5198497031265826
dislike,0.5198497031265826
sucked,0.5198497031265826
dont,0.5198497031265826
start,0.5198497031265826
worked,0.5198497031265826
clothes,0.5198497031265826
ten,0.5198497031265826
jessice,0.5198497031265826
honest,0.5198497031265826
hang,0.5198497031265826
lange,0.5198497031265826
agreed,0.5198497031265826
overacting,0.5185443893474663
occupied,0.5174295826136112
attempt,0.5163225445677968
looked,0.516032928278329
money,0.5157423561014551
handled,0.5059311474444198
go,0.5036362568593281
idea,0.4971981177718724
editing,0.4919164342188126
direction,0.49168328370650044
intelligence,0.4855979809578119
director,0.48142998845095464
return,0.4746722435977394
bullock,0.47414939454892996
sandra,0.47414939454892996
else,0.47356966954065083
notable,0.4725906392059842
frontier,0.4725906392059842
point,0.4725906392059842
lack,0.4725906392059842
ireland,0.4725906392059842
leave,0.4725906392059842
precisely,0.4725906392059842
gas,0.4725906392059842
wondered,0.4725906392059842
giving,0.4725906392059842
gone,0.4725906392059842
knew,0.4725906392059842
geek,0.4725906392059842
screen,0.4725906392059842
same,0.4725906392059842
trek,0.4725906392059842
days,0.4725906392059842
disappointing,0.4725906392059842
tanks,0.4725906392059842
string,0.4725906392059842
weaker,0.4725906392059842
despised,0.4725906392059842
credit,0.4725906392059842
virtue,0.4725906392059842
regrettable,0.4725906392059842
aspects,0.4725906392059842
v,0.4725906392059842
bible,0.4725906392059842
whom,0.4707442067386989
holes,0.4701299254771869
pure,0.45744503085387933
our,0.4529663835742631
clever,0.45062693294644685
must,0.45062693294644685
player,0.4480442884690857
completely,0.4454660439236785
generally,0.443081450788278
felt,0.44026473672764965
someone,0.44026473672764965
supposedly,0.4365569873084777
sum,0.4365569873084777
human,0.4364386791818359
hollywood,0.4332080859388188
b,0.4332080859388188
decidely,0.4332080859388188
offend,0.4332080859388188
decent,0.4332080859388188
cover,0.4332080859388188
hurt,0.4332080859388188
jokes,0.4332080859388188
universal,0.4332080859388188
brain,0.4332080859388188
twirling,0.4332080859388188
tremendously,0.4332080859388188
machine,0.4332080859388188
thunderbirds,0.4332080859388188
sympathetic,0.4332080859388188
cutouts,0.4332080859388188
balance,0.4332080859388188
indescribably,0.4332080859388188
washing,0.4332080859388188
impulse,0.4332080859388188
idiotic,0.4332080859388188
identifies,0.4332080859388188
exploit,0.4332080859388188
forgetting,0.4332080859388188
period,0.4332080859388188
redeemed,0.4332080859388188
primal,0.4332080859388188
pretext,0.4332080859388188
financial,0.4332080859388188
girl,0.4332080859388188
supposed,0.4315565141540423
whole,0.42825213944084856
tension,0.4208934842916226
location,0.408488450720075
eyes,0.40395388882494004
full,0.4022914215893203
became,0.4022124690761674
scared,0.3998843870204482
casting,0.3998843870204482
potted,0.3998843870204482
early,0.3998843870204482
marbles,0.3998843870204482
uneasy,0.3998843870204482
plants,0.3998843870204482
girlfriend,0.3998843870204482
skip,0.3998843870204482
guy,0.3998843870204482
extant,0.3998843870204482
president,0.3998843870204482
unless,0.3998843870204482
throughout,0.3963462149768445
reason,0.3954251336605071
songs,0.3866182601009029
people,0.3833296325123837
black,0.3776922495341677
want,0.37604603927558344
cause,0.37604603927558344
special,0.37592407240452247
visually,0.3732293252149551
talk,0.3732293252149551
chemistry,0.3724790204213432
iq,0.37132121651898753
plays,0.37132121651898753
fifteen,0.37132121651898753
destroy,0.37132121651898753
mollusk,0.37132121651898753
monster,0.37132121651898753
irritating,0.37132121651898753
home,0.37132121651898753
race,0.37132121651898753
disgusting,0.37132121651898753
performance,0.37132121651898753
year,0.37132121651898753
flaw,0.37132121651898753
expert,0.37132121651898753
pace,0.37132121651898753
blatant,0.37132121651898753
lets,0.37132121651898753
except,0.37132121651898753
card,0.37132121651898753
tortured,0.37132121651898753
american,0.37132121651898753
angela,0.37132121651898753
major,0.37132121651898753
weak,0.37132121651898753
cole,0.37132121651898753
chosen,0.37132121651898753
heard,0.37132121651898753
mediocre,0.36259556031270285
picture,0.36186708251760125
let,0.35773781233996776
entire,0.34971069903845337
interest,0.34656646875105507
stand,0.34656646875105507
comedic,0.34656646875105507
im,0.34656646875105507
games,0.34656646875105507
long,0.34656646875105507
frustration,0.34656646875105507
uniqueness,0.34656646875105507
incomprehensible,0.34656646875105507
moves,0.34656646875105507
unbearable,0.34656646875105507
primary,0.34656646875105507
speed,0.34656646875105507
relation,0.34656646875105507
secondary,0.34656646875105507
girls,0.34656646875105507
rpger,0.34656646875105507
repeating,0.34656646875105507
face,0.34656646875105507
antithesis,0.34656646875105507
retarded,0.34656646875105507
rpg,0.34656646875105507
slightest,0.34656646875105507
disgrace,0.34656646875105507
robotic,0.34656646875105507
attempts,0.34163099877825887
mention,0.3372445772402233
suspense,0.3268867374996074
wooden,0.32490606445411413
occur,0.32490606445411413
theatre,0.32490606445411413
heroes,0.32490606445411413
walk,0.32490606445411413
puppets,0.32490606445411413
drag,0.32490606445411413
basic,0.32490606445411413
dribble,0.32490606445411413
allowing,0.32490606445411413
failed,0.32490606445411413
thug,0.32490606445411413
freshness,0.32490606445411413
shelves,0.32490606445411413
focus,0.32490606445411413
landscapes,0.32490606445411413
calls,0.32490606445411413
originality,0.32490606445411413
twists,0.32490606445411413
villain,0.32490606445411413
broad,0.32490606445411413
bipolarity,0.32490606445411413
format,0.32490606445411413
aired,0.32490606445411413
values,0.32490606445411413
derivative,0.32490606445411413
network,0.32490606445411413
convince,0.32490606445411413
actor,0.32490606445411413
convoluted,0.32490606445411413
moving,0.32490606445411413
convey,0.32490606445411413
questioning,0.32490606445411413
inexplicable,0.32490606445411413
personalities,0.32490606445411413
sweep,0.32490606445411413
sidelined,0.32490606445411413
pillow,0.32490606445411413
michael,0.32490606445411413
nearly,0.32490606445411413
diaper,0.32490606445411413
playing,0.32067917327293827
next,0.32067917327293827
feeling,0.3190151322819941
those,0.31682253591169296
reading,0.30691577115311713
daughter,0.30579394301563684
released,0.30579394301563684
ebola,0.30579394301563684
cg,0.30579394301563684
opening,0.30579394301563684
slideshow,0.30579394301563684
excruciatingly,0.30579394301563684
created,0.30579394301563684
angeles,0.30579394301563684
earlier,0.30579394301563684
lazy,0.30579394301563684
bother,0.30579394301563684
borrowed,0.30579394301563684
rita,0.30579394301563684
fox,0.30579394301563684
warn,0.30579394301563684
tired,0.30579394301563684
thomerson,0.30579394301563684
shame,0.30579394301563684
reflected,0.30579394301563684
microsoft,0.30579394301563684
sequence,0.30579394301563684
moments,0.30579394301563684
james,0.30579394301563684
avoided,0.30579394301563684
cheaply,0.30579394301563684
thick,0.30579394301563684
pull,0.30579394301563684
need,0.30579394301563684
mother,0.30579394301563684
hayworth,0.30579394301563684
dumbest,0.30579394301563684
flat,0.3040990570924888
sure,0.3040990570924888
themes,0.28880539062587923
lucy,0.28880539062587923
repeated,0.28880539062587923
overcome,0.28880539062587923
scale,0.28880539062587923
noir,0.28880539062587923
unmitigated,0.28880539062587923
main,0.28880539062587923
perfectly,0.28880539062587923
revenge,0.28880539062587923
stereotypically,0.28880539062587923
road,0.28880539062587923
underwater,0.28880539062587923
sink,0.28880539062587923
meant,0.28880539062587923
trinity,0.28880539062587923
passed,0.28880539062587923
silly,0.28880539062587923
thousand,0.28880539062587923
pile,0.28880539062587923
zombiez,0.28880539062587923
hellish,0.28880539062587923
house,0.28880539062587923
joins,0.28880539062587923
bell,0.28880539062587923
boogeyman,0.28880539062587923
inspiration,0.28880539062587923
inexperience,0.28880539062587923
central,0.28880539062587923
century,0.28880539062587923
higher,0.28880539062587923
badly,0.28880539062587923
dramatic,0.28880539062587923
fish,0.28880539062587923
light,0.28880539062587923
balanced,0.28880539062587923
depth,0.28739422936212117
shots,0.28739422936212117
shed,0.28739422936212117
solid,0.2864776161985268
recently,0.2864776161985268
living,0.2864776161985268
lane,0.2736051069087277
contrived,0.2736051069087277
small,0.2736051069087277
actions,0.2736051069087277
pair,0.2736051069087277
painful,0.2736051069087277
cotton,0.2736051069087277
stockings,0.2736051069087277
ham,0.2736051069087277
hatred,0.2736051069087277
surf,0.2736051069087277
sit,0.2736051069087277
numbers,0.2736051069087277
hopeless,0.2736051069087277
club,0.2736051069087277
idiot,0.2736051069087277
imdb,0.2736051069087277
impact,0.2736051069087277
cases,0.2736051069087277
slackers,0.2736051069087277
phony,0.2736051069087277
uninteresting,0.2736051069087277
element,0.2736051069087277
ratings,0.2736051069087277
excuses,0.2736051069087277
excessively,0.2736051069087277
rough,0.2736051069087277
finished,0.2736051069087277
energetic,0.2736051069087277
fishnet,0.2736051069087277
produce,0.2736051069087277
forgettable,0.2736051069087277
gere,0.2736051069087277
drift,0.2736051069087277
shattered,0.2736051069087277
fully,0.2736051069087277
shooting,0.2736051069087277
shot,0.2736051069087277
act,0.2736051069087277
sick,0.2736051069087277
george,0.2736051069087277
left,0.2736051069087277
draft,0.2736051069087277
becomes,0.2736051069087277
wave,0.2736051069087277
americans,0.2736051069087277
admitted,0.2736051069087277
jim,0.2736051069087277
aspect,0.2736051069087277
began,0.2736051069087277
wants,0.2736051069087277
astonishingly,0.2736051069087277
crap,0.2708141131816717
glad,0.27079112409003403
hours,0.2669673899724561
confuses,0.2599248515632913
competent,0.2599248515632913
racism,0.2599248515632913
lewis,0.2599248515632913
considerable,0.2599248515632913
whine,0.2599248515632913
cheesiness,0.2599248515632913
plug,0.2599248515632913
r,0.2599248515632913
debated,0.2599248515632913
crash,0.2599248515632913
normally,0.2599248515632913
high,0.2599248515632913
pulling,0.2599248515632913
contains,0.2599248515632913
punish,0.2599248515632913
depressing,0.2599248515632913
opened,0.2599248515632913
afternoon,0.2599248515632913
contract,0.2599248515632913
world,0.2599248515632913
pictures,0.2599248515632913
already,0.2599248515632913
jerry,0.2599248515632913
teaches,0.2599248515632913
rated,0.2599248515632913
falsely,0.2599248515632913
accused,0.2599248515632913
schoolers,0.2599248515632913
trumpeter,0.2599248515632913
sort,0.2599248515632913
cry,0.2599248515632913
screened,0.2599248515632913
pap,0.2599248515632913
provokes,0.2599248515632913
sack,0.2599248515632913
following,0.2599248515632913
killing,0.2599248515632913
prejudice,0.2599248515632913
mouth,0.2599248515632913
rating,0.2599248515632913
unemployed,0.2599248515632913
incendiary,0.2599248515632913
unethical,0.2599248515632913
gonna,0.2596161140166928
experience,0.2567993999560645
took,0.2567993999560645
whether,0.25435414806940965
give,0.25435414806940965
sense,0.25358522103735737
try,0.25358522103735737
old,0.253507938387475
years,0.24874573534401595
begin,0.24754747767932503
ass,0.24754747767932503
uncalled,0.24754747767932503
wall,0.24754747767932503
monumental,0.24754747767932503
smart,0.24754747767932503
comments,0.24754747767932503
joke,0.24700287211364638
horrible,0.24418615805301805
bunch,0.24418615805301805
talent,0.24418615805301805
control,0.24418615805301805
happened,0.23897976549184177
professionals,0.2362953196029921
paper,0.2362953196029921
strident,0.2362953196029921
cords,0.2362953196029921
spend,0.2362953196029921
peaking,0.2362953196029921
debbie,0.2362953196029921
awards,0.2362953196029921
assaulted,0.2362953196029921
during,0.2362953196029921
relations,0.2362953196029921
columbo,0.2362953196029921
blare,0.2362953196029921
drago,0.2362953196029921
taylor,0.2362953196029921
contributory,0.2362953196029921
instead,0.2362953196029921
surprising,0.2362953196029921
mature,0.2362953196029921
receive,0.2362953196029921
deserving,0.2362953196029921
childhood,0.2362953196029921
energy,0.23559089134422334
ed,0.23559089134422334
being,0.23146877310166225
dvd,0.2260216100550359
embarrassed,0.2260216100550359
five,0.2260216100550359
mad,0.2260216100550359
freedom,0.2260216100550359
free,0.2260216100550359
slurs,0.2260216100550359
depicted,0.2260216100550359
dollars,0.2260216100550359
slavic,0.2260216100550359
political,0.2260216100550359
whites,0.2260216100550359
littered,0.2260216100550359
members,0.2260216100550359
artistic,0.2260216100550359
turned,0.2260216100550359
tickets,0.2260216100550359
female,0.2260216100550359
bought,0.2260216100550359
overt,0.2260216100550359
tolerate,0.2260216100550359
incorrectness,0.2260216100550359
suspension,0.2260216100550359
halfway,0.2260216100550359
morons,0.2260216100550359
short,0.22571290828997856
dialog,0.22521636337202064
considering,0.2223996493113923
remember,0.2223996493113923
senses,0.2223996493113923
pitiful,0.21888262025836752
dedication,0.2166040429694094
hands,0.2166040429694094
share,0.2166040429694094
cost,0.21574396826696596
came,0.21292725420633762
style,0.21276385610114498
thrown,0.21276385610114498
level,0.20706093942066583
drama,0.2054620597354945
own,0.1999421935102241
yourself,0.1999421935102241
white,0.1999421935102241
marred,0.1999421935102241
worthless,0.1999421935102241
attempting,0.1999421935102241
constant,0.1999421935102241
studio,0.1999421935102241
choked,0.1999421935102241
indoor,0.1999421935102241
artiness,0.1999421935102241
vomit,0.1999421935102241
ugly,0.19253692708391948
bold,0.19253692708391948
cartoon,0.19253692708391948
handle,0.19253692708391948
happen,0.19253692708391948
finally,0.19253692708391948
painted,0.19253692708391948
expected,0.19253692708391948
crafted,0.19253692708391948
sign,0.19253692708391948
haggis,0.19253692708391948
strokes,0.19253692708391948
might,0.1865888246479611
necklace,0.18566060825949376
unconvincing,0.18566060825949376
edward,0.18566060825949376
established,0.18566060825949376
removing,0.18566060825949376
blandly,0.18566060825949376
jean,0.18566060825949376
back,0.18566060825949376
dumb,0.18566060825949376
torture,0.18566060825949376
containing,0.18566060825949376
utter,0.18566060825949376
negulesco,0.18566060825949376
humans,0.18566060825949376
unrealistic,0.18566060825949376
deal,0.18566060825949376
filmmaker,0.17925851831951123
spent,0.17925851831951123
hide,0.17925851831951123
incredibly,0.17925851831951123
sand,0.17925851831951123
borders,0.17925851831951123
popcorn,0.17925851831951123
head,0.17925851831951123
nor,0.17925851831951123
hard,0.1789878368029617
unfunny,0.17853098749710833
turn,0.17571427343648
directed,0.17571427343648
surprisingly,0.17571427343648
amount,0.17262823882326886
coherent,0.16769345262147825
terminology,0.16769345262147825
consider,0.16769345262147825
write,0.16769345262147825
sake,0.16769345262147825
ben,0.16769345262147825
core,0.16769345262147825
affleck,0.16769345262147825
dependant,0.16769345262147825
air,0.16769345262147825
simplifying,0.16769345262147825
diabetic,0.16769345262147825
screenwriter,0.16769345262147825
scares,0.16769345262147825
surely,0.16769345262147825
leaving,0.16769345262147825
obliged,0.16769345262147825
knocked,0.16769345262147825
force,0.16769345262147825
fulfilling,0.16769345262147825
medical,0.16769345262147825
insulin,0.16769345262147825
iffy,0.16769345262147825
facial,0.16245303222705706
user,0.16245303222705706
different,0.16245303222705706
change,0.16245303222705706
cars,0.16245303222705706
continuity,0.16245303222705706
hair,0.16245303222705706
configuration,0.16245303222705706
commented,0.16245303222705706
reviews,0.15289697150781842
proud,0.15289697150781842
olde,0.13680255345436385
always,0.13680255345436385
corny,0.13680255345436385
elderly,0.13680255345436385
gibberish,0.13680255345436385
goth,0.13680255345436385
footage,0.13680255345436385
babbling,0.13680255345436385
awkwardly,0.13680255345436385
latin,0.13680255345436385
overwrought,0.13680255345436385
teen,0.13680255345436385
heist,0.12679261051867868
emoting,0.12679261051867868
flying,0.12679261051867868
stoic,0.12679261051867868
john,0.12679261051867868
underbite,0.12679261051867868
chow,0.12679261051867868
judo,0.12679261051867868
nature,0.12679261051867868
cheerless,0.12679261051867868
imagination,0.12679261051867868
cheesy,0.12679261051867868
rolls,0.12679261051867868
ready,0.12679261051867868
la,0.12679261051867868
abandoned,0.12679261051867868
lots,0.12679261051867868
executed,0.12679261051867868
factory,0.12679261051867868
yun,0.12679261051867868
obviously,0.12425449359375502
care,0.12309408069596019
dance,0.1106063198141665
involves,0.1106063198141665
distract,0.1106063198141665
belly,0.1106063198141665
god,0.1106063198141665
bear,0.1106063198141665
basically,0.1106063198141665
vulcan,0.1106063198141665
stealing,0.1106063198141665
humor,0.1106063198141665
uhura,0.1106063198141665
male,0.1106063198141665
enterprise,0.1106063198141665
itself,0.1105631903746798
bordered,0.10396994062531652
needlessly,0.10396994062531652
backed,0.10396994062531652
vehicles,0.10396994062531652
repeats,0.10396994062531652
box,0.10396994062531652
corn,0.10396994062531652
directorial,0.10396994062531652
flakes,0.10396994062531652
washed,0.1019313143385456
pack,0.1019313143385456
making,0.1019313143385456
jet,0.1019313143385456
down,0.1019313143385456
includes,0.1019313143385456
spock,0.1019313143385456
rescue,0.1019313143385456
shatner,0.1019313143385456
nimoy,0.1019313143385456
kirk,0.1019313143385456
falls,0.1019313143385456
tacky,0.1019313143385456
assistant,0.04580173595828922
rather,0.0284659540313477
children,0.0284659540313477
play,0.0284659540313477
gave,0.025649239970719384
smile,0.025649239970719384
thrilled,0.025649239970719384
excellent,0.025489523536303158
massive,0.023919464867787545
graphics,0.023919464867787545
underneath,0.02290086797914461
pyromaniac,0.02290086797914461
bop,0.02290086797914461
cool,0.02290086797914461
call,0.02290086797914461
pay,0.02290086797914461
switched,0.02290086797914461
malta,0.02290086797914461
waitress,0.02290086797914461
waylaid,0.02290086797914461
wonderfully,0.02290086797914461
bakery,0.02290086797914461
hockey,0.02290086797914461
superficial,0.02290086797914461
educational,0.02290086797914461
